"","kind","spec","prolific_id","response","response_corrected","source"
"98","abstract concept","Heavy Metal","6229dcc610fc8c78c0854951","Both","both","senses"
"99","abstract concept","Heavy Metal","6133b177de3bb431932aad6c","Is","is","senses"
"100","abstract concept","Heavy Metal","610602fcc8c22d54eba47b91@email.prolific.co","Both","both","senses"
"101","abstract concept","Heavy Metal","5b7ea99c6ce77a0001a6d948","Both","both","senses"
"102","abstract concept","Heavy Metal","5a863fb8f1408d0001768afa","Is","is","senses"
"103","abstract concept","Heavy Metal","614726b73ab8022a9edc7f45","Both","both","senses"
"104","abstract concept","Heavy Metal","614f2dbd8a5fdf9347f1cd49","Both","both","senses"
"105","abstract concept","Heavy Metal","5eeadfc8f9a5a9206e2a5841","Both","both","senses"
"106","abstract concept","Heavy Metal","6011d2b8b124c219f57c707e@email.prolific.co","Is","is","senses"
"107","abstract concept","Heavy Metal","5c7bc3509eabe400016d4900","Both","both","senses"
"108","abstract concept","Heavy Metal","5a6107bb31b87a0001c6c49b","Is","is","senses"
"109","abstract concept","Heavy Metal","5b79e92cdb11320001c3d5da","Both","both","senses"
"110","abstract concept","Heavy Metal","5f2bffa8d4f0d601244ab240","Both","both","senses"
"111","abstract concept","Heavy Metal","5f032a785c37574d93dc2fcc","Both","both","senses"
"112","abstract concept","Heavy Metal","6090ac299f401568994bd6aa","Is","is","senses"
"113","abstract concept","Heavy Metal","5ae1e99638df950001454b0e","Both","both","senses"
"114","abstract concept","Heavy Metal","5c38dab0f0ae4c00011238c1","Both","both","senses"
"115","abstract concept","Heavy Metal","5bc0cacb228a7600013cf77e","Both","both","senses"
"116","abstract concept","Heavy Metal","60fd2a06fcc9e802dd5fd7b7","Both","both","senses"
"117","abstract concept","Heavy Metal","5db6fa3b20430d000d2eb752","Both","both","senses"
"118","abstract concept","Heavy Metal","5c85883136f2450001c86ba9","Both","both","senses"
"119","abstract concept","Heavy Metal","606aa384e190cbb5947ed6ae","Both","both","senses"
"120","abstract concept","Heavy Metal","5f2f0ace37658a2e315c4875","Both","both","senses"
"121","abstract concept","Heavy Metal","5e2b3472339bae18089f9c6d","Both","both","senses"
"122","abstract concept","Heavy Metal","5996cafd0ed7ae000199171d","Both","both","senses"
"123","abstract concept","Heavy Metal","60fcf7e8002c2c1b89b03b30","Is","is","senses"
"124","abstract concept","Heavy Metal","5fc175e1e8b4d40e74b123b3","Both","both","senses"
"125","abstract concept","Heavy Metal","5e4d94e8ee0d4509aacdfbc8","Is","is","senses"
"126","abstract concept","Heavy Metal","601958c0af6453017a0cbbd4","Both","both","senses"
"127","abstract concept","Heavy Metal","5c16c04cd0194b0001e693f0","Both","both","senses"
"128","abstract concept","Heavy Metal","5c68037e4ecdae0001d8b480","Is not","is_not","senses"
"129","abstract concept","Heavy Metal","60c298f8c2328dfe272401d2","Both","both","senses"
"130","abstract concept","Heavy Metal","610711d4c064313c758fe4c2","Both","both","senses"
"131","abstract concept","Heavy Metal","6095dae9237f2262b67d51b5","Is","is","senses"
"132","abstract concept","Heavy Metal","60c3c8f790736ad8d329816b","Is","is","senses"
"133","abstract concept","Heavy Metal","5fe70a2be144224fce79b148","Is","is","senses"
"134","abstract concept","Heavy Metal","609d1224afa6945618b68f1f","Both","both","senses"
"135","abstract concept","Heavy Metal","5f56a6646e11c111125188bc","Is","is","senses"
"136","abstract concept","Heavy Metal","611cdb36b5b791e2174ee88b","Both","both","senses"
"137","abstract concept","Heavy Metal","5f68d4c59b202b055cc873e5","Is","is","senses"
"138","abstract concept","Heavy Metal","5ce7046a9390750017b64ac6","Both","both","senses"
"139","abstract concept","Heavy Metal","5f7636517eea510aeb2e8433","Is","is","senses"
"140","abstract concept","Heavy Metal","5e52e5e02d48ca3042df7f25","Both","both","senses"
"141","abstract concept","Heavy Metal","5e5bd0b15bb3123a2e2a2c07","Both","both","senses"
"142","abstract concept","Heavy Metal","5c5b50e8fbf35700018c8dde","Is","is","senses"
"143","abstract concept","Heavy Metal","627e79a6e1f2b10601861ca6","Both","both","senses"
"144","abstract concept","Heavy Metal","600713a1ef06551629886703","Both","both","senses"
"145","natural kind","Tiger","60ff265ad0d04a091f893b0b","Both","both","senses"
"146","natural kind","Tiger","6229dcc610fc8c78c0854951","Is not","is_not","senses"
"147","natural kind","Tiger","6133b177de3bb431932aad6c","Is not","is_not","senses"
"148","natural kind","Tiger","610602fcc8c22d54eba47b91@email.prolific.co","Both","both","senses"
"149","natural kind","Tiger","5b7ea99c6ce77a0001a6d948","Both","both","senses"
"150","natural kind","Tiger","5a863fb8f1408d0001768afa","Is not","is_not","senses"
"151","natural kind","Tiger","614726b73ab8022a9edc7f45","Both","both","senses"
"152","natural kind","Tiger","614f2dbd8a5fdf9347f1cd49","Both","both","senses"
"153","natural kind","Tiger","5eeadfc8f9a5a9206e2a5841","Both","both","senses"
"154","natural kind","Tiger","6011d2b8b124c219f57c707e@email.prolific.co","Both","both","senses"
"155","natural kind","Tiger","5c7bc3509eabe400016d4900","Both","both","senses"
"156","natural kind","Tiger","5a6107bb31b87a0001c6c49b","Both","both","senses"
"157","natural kind","Tiger","5b79e92cdb11320001c3d5da","Both","both","senses"
"158","natural kind","Tiger","5f2bffa8d4f0d601244ab240","Is not","is_not","senses"
"159","natural kind","Tiger","5f032a785c37574d93dc2fcc","Is not","is_not","senses"
"160","natural kind","Tiger","6090ac299f401568994bd6aa","Is","is","senses"
"161","natural kind","Tiger","5ae1e99638df950001454b0e","Is","is","senses"
"162","natural kind","Tiger","5c38dab0f0ae4c00011238c1","Both","both","senses"
"163","natural kind","Tiger","5bc0cacb228a7600013cf77e","Both","both","senses"
"164","natural kind","Tiger","60fd2a06fcc9e802dd5fd7b7","Both","both","senses"
"165","natural kind","Tiger","5db6fa3b20430d000d2eb752","Is not","is_not","senses"
"166","natural kind","Tiger","5c85883136f2450001c86ba9","Both","both","senses"
"167","natural kind","Tiger","606aa384e190cbb5947ed6ae","Both","both","senses"
"168","natural kind","Tiger","5f2f0ace37658a2e315c4875","Both","both","senses"
"169","natural kind","Tiger","5e2b3472339bae18089f9c6d","Is not","is_not","senses"
"170","natural kind","Tiger","5996cafd0ed7ae000199171d","Both","both","senses"
"171","natural kind","Tiger","60fcf7e8002c2c1b89b03b30","Both","both","senses"
"172","natural kind","Tiger","5fc175e1e8b4d40e74b123b3","Is not","is_not","senses"
"173","natural kind","Tiger","5e4d94e8ee0d4509aacdfbc8","Is not","is_not","senses"
"174","natural kind","Tiger","601958c0af6453017a0cbbd4","Both","both","senses"
"175","natural kind","Tiger","5c16c04cd0194b0001e693f0","Both","both","senses"
"176","natural kind","Tiger","5c68037e4ecdae0001d8b480","Is not","is_not","senses"
"177","natural kind","Tiger","60c298f8c2328dfe272401d2","Is","is","senses"
"178","natural kind","Tiger","610711d4c064313c758fe4c2","Both","both","senses"
"179","natural kind","Tiger","6095dae9237f2262b67d51b5","Is","is","senses"
"180","natural kind","Tiger","60c3c8f790736ad8d329816b","Is not","is_not","senses"
"181","natural kind","Tiger","5fe70a2be144224fce79b148","Both","both","senses"
"182","natural kind","Tiger","609d1224afa6945618b68f1f","Is not","is_not","senses"
"183","natural kind","Tiger","5f56a6646e11c111125188bc","Both","both","senses"
"184","natural kind","Tiger","611cdb36b5b791e2174ee88b","Both","both","senses"
"185","natural kind","Tiger","5f68d4c59b202b055cc873e5","Both","both","senses"
"186","natural kind","Tiger","5ce7046a9390750017b64ac6","Is not","is_not","senses"
"187","natural kind","Tiger","5f7636517eea510aeb2e8433","Both","both","senses"
"188","natural kind","Tiger","5e52e5e02d48ca3042df7f25","Is not","is_not","senses"
"189","natural kind","Tiger","5e5bd0b15bb3123a2e2a2c07","Both","both","senses"
"190","natural kind","Tiger","5c5b50e8fbf35700018c8dde","Is not","is_not","senses"
"191","natural kind","Tiger","627e79a6e1f2b10601861ca6","Is not","is_not","senses"
"192","natural kind","Tiger","600713a1ef06551629886703","Both","both","senses"
"193","artifact","Fork","60ff265ad0d04a091f893b0b","Both","both","senses"
"194","artifact","Fork","6229dcc610fc8c78c0854951","Both","both","senses"
"195","artifact","Fork","6133b177de3bb431932aad6c","Is","is","senses"
"196","artifact","Fork","610602fcc8c22d54eba47b91@email.prolific.co","Both","both","senses"
"197","artifact","Fork","5b7ea99c6ce77a0001a6d948","Both","both","senses"
"198","artifact","Fork","5a863fb8f1408d0001768afa","Is not","is_not","senses"
"199","artifact","Fork","614726b73ab8022a9edc7f45","Both","both","senses"
"200","artifact","Fork","614f2dbd8a5fdf9347f1cd49","Both","both","senses"
"201","artifact","Fork","5eeadfc8f9a5a9206e2a5841","Both","both","senses"
"202","artifact","Fork","6011d2b8b124c219f57c707e@email.prolific.co","Both","both","senses"
"203","artifact","Fork","5c7bc3509eabe400016d4900","Both","both","senses"
"204","artifact","Fork","5a6107bb31b87a0001c6c49b","Is not","is_not","senses"
"205","artifact","Fork","5b79e92cdb11320001c3d5da","Is not","is_not","senses"
"206","artifact","Fork","5f2bffa8d4f0d601244ab240","Both","both","senses"
"207","artifact","Fork","5f032a785c37574d93dc2fcc","Is not","is_not","senses"
"208","artifact","Fork","6090ac299f401568994bd6aa","Is","is","senses"
"209","artifact","Fork","5ae1e99638df950001454b0e","Is not","is_not","senses"
"210","artifact","Fork","5c38dab0f0ae4c00011238c1","Both","both","senses"
"211","artifact","Fork","5bc0cacb228a7600013cf77e","Both","both","senses"
"212","artifact","Fork","60fd2a06fcc9e802dd5fd7b7","Both","both","senses"
"213","artifact","Fork","5db6fa3b20430d000d2eb752","Both","both","senses"
"214","artifact","Fork","5c85883136f2450001c86ba9","Both","both","senses"
"215","artifact","Fork","606aa384e190cbb5947ed6ae","Both","both","senses"
"216","artifact","Fork","5f2f0ace37658a2e315c4875","Is","is","senses"
"217","artifact","Fork","5e2b3472339bae18089f9c6d","Is not","is_not","senses"
"218","artifact","Fork","5996cafd0ed7ae000199171d","Both","both","senses"
"219","artifact","Fork","60fcf7e8002c2c1b89b03b30","Both","both","senses"
"220","artifact","Fork","5fc175e1e8b4d40e74b123b3","Both","both","senses"
"221","artifact","Fork","5e4d94e8ee0d4509aacdfbc8","Is not","is_not","senses"
"222","artifact","Fork","601958c0af6453017a0cbbd4","Both","both","senses"
"223","artifact","Fork","5c16c04cd0194b0001e693f0","Both","both","senses"
"224","artifact","Fork","5c68037e4ecdae0001d8b480","Both","both","senses"
"225","artifact","Fork","60c298f8c2328dfe272401d2","Both","both","senses"
"226","artifact","Fork","610711d4c064313c758fe4c2","Both","both","senses"
"227","artifact","Fork","6095dae9237f2262b67d51b5","Is","is","senses"
"228","artifact","Fork","60c3c8f790736ad8d329816b","Is","is","senses"
"229","artifact","Fork","5fe70a2be144224fce79b148","Both","both","senses"
"230","artifact","Fork","609d1224afa6945618b68f1f","Both","both","senses"
"231","artifact","Fork","5f56a6646e11c111125188bc","Is","is","senses"
"232","artifact","Fork","611cdb36b5b791e2174ee88b","Is not","is_not","senses"
"233","artifact","Fork","5f68d4c59b202b055cc873e5","Is not","is_not","senses"
"234","artifact","Fork","5ce7046a9390750017b64ac6","Is not","is_not","senses"
"235","artifact","Fork","5f7636517eea510aeb2e8433","Is","is","senses"
"236","artifact","Fork","5e52e5e02d48ca3042df7f25","Is not","is_not","senses"
"237","artifact","Fork","5e5bd0b15bb3123a2e2a2c07","Is not","is_not","senses"
"238","artifact","Fork","5c5b50e8fbf35700018c8dde","Both","both","senses"
"239","artifact","Fork","627e79a6e1f2b10601861ca6","Is not","is_not","senses"
"240","artifact","Fork","600713a1ef06551629886703","Is not","is_not","senses"
"241","abstract concept","Scientist","60ff265ad0d04a091f893b0b","Both","both","senses"
"242","abstract concept","Scientist","6229dcc610fc8c78c0854951","Is not","is_not","senses"
"243","abstract concept","Scientist","6133b177de3bb431932aad6c","Is not","is_not","senses"
"244","abstract concept","Scientist","610602fcc8c22d54eba47b91@email.prolific.co","Is not","is_not","senses"
"245","abstract concept","Scientist","5b7ea99c6ce77a0001a6d948","Both","both","senses"
"246","abstract concept","Scientist","5a863fb8f1408d0001768afa","Both","both","senses"
"247","abstract concept","Scientist","614726b73ab8022a9edc7f45","Both","both","senses"
"248","abstract concept","Scientist","614f2dbd8a5fdf9347f1cd49","Both","both","senses"
"249","abstract concept","Scientist","5eeadfc8f9a5a9206e2a5841","Is not","is_not","senses"
"250","abstract concept","Scientist","6011d2b8b124c219f57c707e@email.prolific.co","Both","both","senses"
"251","abstract concept","Scientist","5c7bc3509eabe400016d4900","Both","both","senses"
"252","abstract concept","Scientist","5a6107bb31b87a0001c6c49b","Both","both","senses"
"253","abstract concept","Scientist","5b79e92cdb11320001c3d5da","Is","is","senses"
"254","abstract concept","Scientist","5f2bffa8d4f0d601244ab240","Is not","is_not","senses"
"255","abstract concept","Scientist","5f032a785c37574d93dc2fcc","Both","both","senses"
"256","abstract concept","Scientist","6090ac299f401568994bd6aa","Is","is","senses"
"257","abstract concept","Scientist","5ae1e99638df950001454b0e","Is not","is_not","senses"
"258","abstract concept","Scientist","5c38dab0f0ae4c00011238c1","Both","both","senses"
"259","abstract concept","Scientist","5bc0cacb228a7600013cf77e","Both","both","senses"
"260","abstract concept","Scientist","60fd2a06fcc9e802dd5fd7b7","Both","both","senses"
"261","abstract concept","Scientist","5db6fa3b20430d000d2eb752","Both","both","senses"
"262","abstract concept","Scientist","5c85883136f2450001c86ba9","Both","both","senses"
"263","abstract concept","Scientist","606aa384e190cbb5947ed6ae","Both","both","senses"
"264","abstract concept","Scientist","5f2f0ace37658a2e315c4875","Both","both","senses"
"265","abstract concept","Scientist","5e2b3472339bae18089f9c6d","Both","both","senses"
"266","abstract concept","Scientist","5996cafd0ed7ae000199171d","Both","both","senses"
"267","abstract concept","Scientist","60fcf7e8002c2c1b89b03b30","Both","both","senses"
"268","abstract concept","Scientist","5fc175e1e8b4d40e74b123b3","Both","both","senses"
"269","abstract concept","Scientist","5e4d94e8ee0d4509aacdfbc8","Both","both","senses"
"270","abstract concept","Scientist","601958c0af6453017a0cbbd4","Both","both","senses"
"271","abstract concept","Scientist","5c16c04cd0194b0001e693f0","Both","both","senses"
"272","abstract concept","Scientist","5c68037e4ecdae0001d8b480","Is not","is_not","senses"
"273","abstract concept","Scientist","60c298f8c2328dfe272401d2","Is","is","senses"
"274","abstract concept","Scientist","610711d4c064313c758fe4c2","Both","both","senses"
"275","abstract concept","Scientist","6095dae9237f2262b67d51b5","Is","is","senses"
"276","abstract concept","Scientist","60c3c8f790736ad8d329816b","Is","is","senses"
"277","abstract concept","Scientist","5fe70a2be144224fce79b148","Both","both","senses"
"278","abstract concept","Scientist","609d1224afa6945618b68f1f","Is not","is_not","senses"
"279","abstract concept","Scientist","5f56a6646e11c111125188bc","Is","is","senses"
"280","abstract concept","Scientist","611cdb36b5b791e2174ee88b","Both","both","senses"
"281","abstract concept","Scientist","5f68d4c59b202b055cc873e5","Is not","is_not","senses"
"282","abstract concept","Scientist","5ce7046a9390750017b64ac6","Is not","is_not","senses"
"283","abstract concept","Scientist","5f7636517eea510aeb2e8433","Is","is","senses"
"284","abstract concept","Scientist","5e52e5e02d48ca3042df7f25","Both","both","senses"
"285","abstract concept","Scientist","5e5bd0b15bb3123a2e2a2c07","Both","both","senses"
"286","abstract concept","Scientist","5c5b50e8fbf35700018c8dde","Is not","is_not","senses"
"287","abstract concept","Scientist","627e79a6e1f2b10601861ca6","Both","both","senses"
"288","abstract concept","Scientist","600713a1ef06551629886703","Both","both","senses"
"289","natural kind","Helium","60ff265ad0d04a091f893b0b","Both","both","senses"
"290","natural kind","Helium","6229dcc610fc8c78c0854951","Is not","is_not","senses"
"291","natural kind","Helium","6133b177de3bb431932aad6c","Is not","is_not","senses"
"292","natural kind","Helium","610602fcc8c22d54eba47b91@email.prolific.co","Is not","is_not","senses"
"293","natural kind","Helium","5b7ea99c6ce77a0001a6d948","Both","both","senses"
"294","natural kind","Helium","5a863fb8f1408d0001768afa","Is not","is_not","senses"
"295","natural kind","Helium","614726b73ab8022a9edc7f45","Both","both","senses"
"296","natural kind","Helium","614f2dbd8a5fdf9347f1cd49","Both","both","senses"
"297","natural kind","Helium","5eeadfc8f9a5a9206e2a5841","Is not","is_not","senses"
"298","natural kind","Helium","6011d2b8b124c219f57c707e@email.prolific.co","Both","both","senses"
"299","natural kind","Helium","5c7bc3509eabe400016d4900","Both","both","senses"
"300","natural kind","Helium","5a6107bb31b87a0001c6c49b","Is not","is_not","senses"
"301","natural kind","Helium","5b79e92cdb11320001c3d5da","Is not","is_not","senses"
"302","natural kind","Helium","5f2bffa8d4f0d601244ab240","Is not","is_not","senses"
"303","natural kind","Helium","5f032a785c37574d93dc2fcc","Is not","is_not","senses"
"304","natural kind","Helium","6090ac299f401568994bd6aa","Both","both","senses"
"305","natural kind","Helium","5ae1e99638df950001454b0e","Is not","is_not","senses"
"306","natural kind","Helium","5c38dab0f0ae4c00011238c1","Both","both","senses"
"307","natural kind","Helium","5bc0cacb228a7600013cf77e","Both","both","senses"
"308","natural kind","Helium","60fd2a06fcc9e802dd5fd7b7","Both","both","senses"
"309","natural kind","Helium","5db6fa3b20430d000d2eb752","Is not","is_not","senses"
"310","natural kind","Helium","5c85883136f2450001c86ba9","Both","both","senses"
"311","natural kind","Helium","606aa384e190cbb5947ed6ae","Both","both","senses"
"312","natural kind","Helium","5f2f0ace37658a2e315c4875","Both","both","senses"
"313","natural kind","Helium","5e2b3472339bae18089f9c6d","Is not","is_not","senses"
"314","natural kind","Helium","5996cafd0ed7ae000199171d","Both","both","senses"
"315","natural kind","Helium","60fcf7e8002c2c1b89b03b30","Both","both","senses"
"316","natural kind","Helium","5fc175e1e8b4d40e74b123b3","Is","is","senses"
"317","natural kind","Helium","5e4d94e8ee0d4509aacdfbc8","Is not","is_not","senses"
"318","natural kind","Helium","601958c0af6453017a0cbbd4","Both","both","senses"
"319","natural kind","Helium","5c16c04cd0194b0001e693f0","Both","both","senses"
"320","natural kind","Helium","5c68037e4ecdae0001d8b480","Both","both","senses"
"321","natural kind","Helium","60c298f8c2328dfe272401d2","Is","is","senses"
"322","natural kind","Helium","610711d4c064313c758fe4c2","Both","both","senses"
"323","natural kind","Helium","6095dae9237f2262b67d51b5","Is","is","senses"
"324","natural kind","Helium","60c3c8f790736ad8d329816b","Is not","is_not","senses"
"325","natural kind","Helium","5fe70a2be144224fce79b148","Both","both","senses"
"326","natural kind","Helium","609d1224afa6945618b68f1f","Is not","is_not","senses"
"327","natural kind","Helium","5f56a6646e11c111125188bc","Is not","is_not","senses"
"328","natural kind","Helium","611cdb36b5b791e2174ee88b","Both","both","senses"
"329","natural kind","Helium","5f68d4c59b202b055cc873e5","Is not","is_not","senses"
"330","natural kind","Helium","5ce7046a9390750017b64ac6","Both","both","senses"
"331","natural kind","Helium","5f7636517eea510aeb2e8433","Both","both","senses"
"332","natural kind","Helium","5e52e5e02d48ca3042df7f25","Is not","is_not","senses"
"333","natural kind","Helium","5e5bd0b15bb3123a2e2a2c07","Is not","is_not","senses"
"334","natural kind","Helium","5c5b50e8fbf35700018c8dde","Is not","is_not","senses"
"335","natural kind","Helium","627e79a6e1f2b10601861ca6","Is not","is_not","senses"
"336","natural kind","Helium","600713a1ef06551629886703","Is","is","senses"
"337","artifact","Kettle","60ff265ad0d04a091f893b0b","Both","both","senses"
"338","artifact","Kettle","6229dcc610fc8c78c0854951","Both","both","senses"
"339","artifact","Kettle","6133b177de3bb431932aad6c","Both","both","senses"
"340","artifact","Kettle","610602fcc8c22d54eba47b91@email.prolific.co","Both","both","senses"
"341","artifact","Kettle","5b7ea99c6ce77a0001a6d948","Both","both","senses"
"342","artifact","Kettle","5a863fb8f1408d0001768afa","Is not","is_not","senses"
"343","artifact","Kettle","614726b73ab8022a9edc7f45","Both","both","senses"
"344","artifact","Kettle","614f2dbd8a5fdf9347f1cd49","Is","is","senses"
"345","artifact","Kettle","5eeadfc8f9a5a9206e2a5841","Is not","is_not","senses"
"346","artifact","Kettle","6011d2b8b124c219f57c707e@email.prolific.co","Both","both","senses"
