Q3,natural kind,control subjective adjective,abstract concept,natural kind,artifact,abstract concept,natural kind,artifact,control precise definition,abstract concept,natural kind,artifact,abstract concept,natural kind,artifact,abstract concept,control subjective adjective,artifact,abstract concept,natural kind,control precise definition,artifact,control check,control check,control check
60eda07f6d6e3abf23a92951,Is not,Both,Both,Is not,Both,Both,Is not,Is not,Is not,Both,Is not,Is not,Is not,Both,Is not,Is,Both,Both,Is,Is not,Is not,Is not,Both,Is,Is not
5cdb487aa63838000162bc73,Both,Both,Both,Both,Is,Is not,Is not,Is,Is not,Is not,Is not,Both,Is not,Is not,Both,Both,Both,Is,Is not,Is not,Is not,Both,Is,Both,Is not
6127c89a145f6be7b6527daa,Both,Both,Is,Is not,Is not,Both,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is,Both,Is not,Is,Is not,Is not,Is not,Is not,Is,Is not
5dd43922ecd14c4370d02a2e,Is not,Both,Is,Is not,Both,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Both,Is not,Is not,Both,Both,Is,Is,Is not,Is not,Is not,Is not,Is,Is not
60dd24581d271ea1af032339,Is not,Both,Both,Is not,Is not,Is not,Is not,Is not,Is not,Both,Is not,Is not,Both,Is not,Is not,Is,Is,Is not,Is,Both,Is not,Is not,Is not,Both,Is not
5f5b89648901d82d98519918,Is not,Both,Both,Is not,Is,Both,Is not,Both,Is not,Is not,Is,Both,Is not,Both,Is not,Is,Both,Is not,Is,Both,Is not,Both,Is not,Is,Is not
59c558114374e1000125c522,Is not,Both,Both,Is not,Is,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Both,Both,Both,Is not,Is not,Is not,Both,Is not,Both,Is not
611bdc0a559f692248bf1c54,Both,Both,Both,Is not,Both,Is,Is not,Is not,Is not,Is not,Is not,Both,Is not,Is not,Is not,Is,Both,Both,Is not,Is not,Is not,Is not,Is not,Is not,Is not
62e50a9b4ea7a8e74bbbb158,Is not,Both,Both,Is not,Both,Is not,Is not,Both,Is not,Both,Is not,Is not,Both,Is not,Is not,Is,Both,Both,Is,Is not,Is not,Is not,Is not,Is,Is not
59c95afe1e901d0001df8c79,Both,Is,Is,Both,Is,Is not,Is not,Is,Is not,Is not,Both,Is,Is not,Both,Is,Is,Is,Is,Is,Is not,Is not,Is,Is,Both,Is not
5a3fa72c1ba4960001029909,Is not,Both,Both,Is not,Is,Both,Is,Both,Is not,Is,Both,Is not,Is not,Both,Both,Is,Both,Both,Is not,Is not,Is not,Is not,Is,Is,Is
5cc076320004360001ed90dc,Is not,Both,Both,Is not,Is not,Both,Is not,Is not,Is not,Both,Is not,Is not,Both,Is not,Is not,Both,Both,Is not,Both,Is not,Is not,Is not,Is not,Is,Is not
5fcad787ca46657c3d442d57,Is not,Both,Both,Is not,Is,Both,Is not,Is,Is not,Is not,Is,Is,Is not,Is,Is not,Is,Both,Is,Is not,Is,Is not,Is not,Is not,Is not,Is not
5d4892d03eb6bf0018399498,Is not,Both,Both,Is not,Both,Is not,Is not,Is not,Is not,Is,Is not,Both,Both,Is not,Is not,Both,Both,Both,Is not,Is not,Is not,Is not,Is not,Is,Is not
62a766c5899e18df9ca94d67,Both,Both,Is,Both,Both,Both,Is not,Both,Is not,Is not,Both,Is not,Is not,Both,Is not,Is not,Is,Is not,Is not,Both,Is not,Both,Both,Is not,Is not
606ca47dac67cbdff9177d6b,Both,Both,Is,Is not,Is,Is not,Is not,Is not,Is not,Both,Is not,Is not,Is not,Is not,Is not,Is,Both,Is,Is not,Is not,Is not,Both,Both,Both,Is not
62d2b86ed12d650ea7268dd7,Is not,Both,Is not,Is not,Is not,Both,Is not,Both,Both,Both,Is not,Both,Both,Is not,Is,Is,Both,Is,Is,Is not,Is not,Both,Is not,Is,Both
62ebd8c191cf8e7fe54af5cf,Is not,Both,Both,Both,Is,Is,Both,Is not,Is not,Is,Both,Is not,Is not,Both,Is not,Is,Both,Both,Both,Is not,Is not,Both,Both,Is,Is not
5f3fad86c15d910261828ca9,Is not,Both,Is,Is,Is not,Is not,Is not,Is not,Is not,Both,Is,Is not,Is not,Is,Is not,Is,Is,Both,Is not,Is not,Is not,Is not,Is,Is,Is not
5ffee833adbaca5dec7426c0,Is not,Both,Both,Both,Is,Is,Both,Is not,Is not,Both,Is,Both,Both,Both,Both,Both,Both,Both,Both,Both,Is not,Is,Is,Is,Is not
59db44e63e5ea00001e1d163,Is not,Both,Both,Is not,Both,Is,Is not,Both,Is not,Is not,Both,Both,Both,Is not,Is not,Is,Both,Is not,Is not,Is not,Is not,Both,Both,Is,Is not
60b62b9daab749081c5b88f0,Is not,Both,Is,Both,Is not,Both,Both,Is,Is not,Is not,Both,Is,Is not,Is not,Both,Is not,Both,Both,Both,Is not,Is not,Both,Is,Both,Is not
60fbc21303c4bb03e3ba72b3,Both,Both,Is,Both,Is,Is not,Is,Is not,Is not,Both,Is,Is not,Both,Is,Is not,Is,Is,Is not,Is not,Is not,Is not,Is not,Is,Is,Is not
5de7baf95d4f97726bc2b11e,Is not,Both,Is,Is,Is,Is not,Is,Is not,Is,Is not,Is not,Is,Both,Is,Is,Is,Is,Is,Is not,Is,Is not,Is,Is not,Is not,Is
5fdca8f20f62f41ef567186c,Is not,Both,Both,Is not,Both,Both,Is not,Both,Is not,Both,Is not,Both,Both,Is not,Both,Both,Both,Both,Both,Is not,Is not,Both,Is not,Both,Both
608b2f8c02e302a56addb5e4,Is not,Both,Is not,Is,Is,Both,Is not,Is not,Is not,Is not,Is not,Is not,Is,Is not,Is,Is not,Is,Is,Is not,Is not,Is not,Is,Is,Is not,Both
60c7661114d630707fb8bd8a,Both,Both,Both,Both,Both,Both,Both,Is not,Is not,Both,Both,Is not,Both,Both,Is not,Both,Both,Both,Both,Both,Is not,Is not,Is not,Is,Is not
5dcc6f91e5e18690a20e74d1,Both,Both,Both,Is not,Both,Is not,Is not,Is not,Is not,Both,Both,Is not,Is not,Is not,Is not,Is not,Is,Is not,Is not,Is not,Is not,Is not,Is not,Is,Is not
5f3eb7a8f14d1312518c5776,Is not,Both,Both,Is not,Both,Both,Is not,Both,Is not,Both,Is not,Both,Both,Is not,Both,Both,Both,Both,Both,Is not,Is not,Both,Is not,Both,Is not
60fd20dbf7e3865f1e6aa65b,Is not,Both,Both,Both,Both,Both,Is not,Is not,Is not,Both,Both,Is not,Is not,Both,Both,Is,Both,Both,Is,Both,Is not,Is not,Is,Is,Is not
6050cb50a965d6a6eb12361e,Both,Both,Both,Is not,Is,Both,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is,Is not,Is,Is,Is not,Is not,Is,Is not,Is,Is not
60af52990d170be944d0df18,Both,Is,Both,Is not,Is not,Both,Is not,Is not,Is not,Both,Both,Is not,Both,Both,Is not,Is,Both,Is not,Both,Both,Is not,Is not,Is not,Is,Is not
62e970edb3e1750e9c322417@email.prolific.co,Both,Both,Is,Is not,Both,Is not,Is not,Is not,Is not,Is not,Both,Is not,Both,Is not,Is not,Is,Both,Is not,Both,Is not,Is not,Is not,Both,Is,Is not
5f511cdb275a742f89f0b9bf,Is not,Both,Both,Both,Is not,Is,Both,Is not,Is not,Is not,Is not,Is not,Is,Is not,Is not,Is,Is,Is,Is,Is not,Is not,Is not,Is not,Both,Is not
60abfd1c0288766d6053de0d,Is not,Is,Is,Both,Is not,Is not,Both,Is,Both,Both,Is,Is,Both,Both,Is,Both,Is,Is,Is not,Is,Is,Is,Is,Is,Both
5fa154fd4cbe97227182aff7,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both ,Both,Both,Both,Both
60a451dd76cf19ed275d3f49,Is,Is,Is,Both,Both,Both,Both,Is not,Is not,Is not,Is,Is not,Is,Is,Is,Both,Is,Is not,Is not,Is,Is,Is not,Both,Is,Both
598b108e504c5200011964a1,Is not,Both,Both,Is not,Both,Is not,Is not,Both,Is not,Is not,Is not,Both,Is not,Is not,Both,Is not,Both,Both,Is not,Is not,Is not,Both,Is not,Is not,Is not
605c35e1011fef6022b70a3a,Is,Both,Both,Both,Is,,,,,,,,,,,,,,,,,,,,
